application_id,gt_person_id,link_shared_id,bank_internal_id,application_ts,product,amount_requested,term_months,interest_rate,birth_year,sex,home_postal_fsa,home_province,home_lat,home_lng,employment_type,employer_industry,employment_tenure_months,pay_frequency,dependents,residence_months,declared_income_cad,verified_income_cad,avg_balance_3m_cad,inflow_payroll_3m_cad,card_spend_3m_cad,atm_withdraw_3m_cad,nsf_count_3m,late_fee_count_3m,overdraft_days_3m,device_type,browser,os,device_id,ip_lat,ip_lng,internal_risk_score,default_12m,created_at,updated_at,source_system
1,636,,34b306759c0fc9a4,2025-05-10 15:56:37,LineOfCredit,21544.01,36,0.081,1975,F,N5K,ON,43.36024360212329,-80.52793193589416,Student,Hospitality,118,biweekly,1,117,129861.15,103397.91,2869.66,35135.43,1980.49,290.64,1,1,1,mobile,Firefox,Windows,d636_659,43.36024360212329,-80.52793193589416,0.5746204419444687,False,2025-05-04,2025-05-15,bank_app_v1
2,4237,,9f158ffc6d594e1a,2025-04-25 18:13:56,PersonalLoan,31438.85,48,0.1021,1947,M,P2A,YT,60.637422691350324,-135.07976481602705,Full-time,Healthcare,56,biweekly,3,92,49630.24,51014.9,6712.29,4839.72,3161.1,275.49,0,0,2,desktop,Firefox,Windows,d4237_172,55.18499616561131,-123.45629204663453,0.46181961895383494,False,2025-04-12,2025-04-30,bank_app_v1
3,3251,af36d77793af3c4d,8e5363308f034efb,2025-06-10 12:48:05,PersonalLoan,26714.09,72,0.1434,1968,F,E2P,QC,46.86163262230427,-71.28302175507052,Full-time,Education,62,biweekly,1,0,103735.01,114775.18,5745.02,4569.13,15715.03,882.27,0,0,1,mobile,Firefox,macOS,d3251_115,46.86163262230427,-71.28302175507052,0.4167025189745941,False,2025-06-07,2025-06-13,bank_app_v1
4,2569,,38658a7fa8889fd8,2025-05-19 11:11:06,CreditCard,3454.02,72,0.1782,1993,F,H4G,QC,47.05006551827836,-71.15790351339085,Self-employed,Retail,38,monthly,2,105,65275.79,67330.98,1305.22,6882.95,2241.37,336.45,0,2,1,mobile,Firefox,macOS,d2569_629,47.05006551827836,-71.15790351339085,0.4972959496084569,False,2025-05-05,2025-05-23,bank_app_v1
5,5417,c72e1d6bfc43fe7b,421c2162e1cac79c,2025-02-15 09:51:08,AutoLoan,10384.89,72,0.1078,1959,F,M5C,NT,62.62354070218794,-114.16514985062419,Student,Education,52,monthly,2,102,86488.82,101303.83,1436.78,5459.89,1105.12,520.36,1,0,1,mobile,Firefox,iOS,d5417_378,62.62354070218794,-114.16514985062419,0.07888902656409308,False,2025-02-07,2025-02-15,bank_app_v1
6,4998,,3126d83d9a336013,2025-03-12 13:15:33,AutoLoan,3412.22,48,0.0105,1971,F,S3L,NB,45.15978099767991,-66.41100512327739,Self-employed,Construction,59,monthly,1,105,150838.93,135249.12,11656.37,26123.71,1066.09,617.17,1,0,0,desktop,Safari,iOS,d4998_585,45.15978099767991,-66.41100512327739,0.07313830627419643,False,2025-03-08,2025-03-13,bank_app_v1
7,1030,8cde25d5cd960c90,6a2d0d8379c5c9e0,2025-07-26 11:38:33,AutoLoan,4868.15,12,0.134,1973,F,T9P,NB,46.01957310782685,-66.70717556848017,Student,Government,54,monthly,3,174,117000.15,89571.76,12880.22,8705.4,9602.16,184.14,0,0,2,mobile,Safari,macOS,d1030_965,46.01957310782685,-66.70717556848017,0.3306942613385641,False,2025-07-20,2025-08-01,bank_app_v1
8,8817,3fb669b315a21636,763fe751d9a3a975,2025-08-07 19:46:54,AutoLoan,18892.26,60,0.0949,1972,M,V2A,ON,43.280513414381616,-80.47060071204551,Full-time,Energy,12,monthly,2,27,38181.54,31206.47,5891.58,11532.21,1665.67,1052.64,0,0,2,mobile,Safari,Windows,d8817_239,43.280513414381616,-80.47060071204551,0.4220380136740247,False,2025-08-03,2025-08-09,bank_app_v1
9,4259,277466ac5d938ab3,e5f582013936f563,2025-02-07 14:36:22,CreditCard,20852.56,72,0.1938,1982,M,C2X,AB,53.51407541400951,-113.62279452920889,Full-time,Technology,5,biweekly,1,81,88463.3,77077.34,412.67,11422.39,4514.26,280.35,1,0,1,mobile,Safari,iOS,d4259_207,30.870964244056236,-99.54098107314849,0.10518283204271406,False,2025-01-30,2025-02-09,bank_app_v1
10,2711,eed39a19ccc6d58e,9c7fb44f8a838c71,2025-01-22 09:47:38,CreditCard,7748.08,48,0.1911,1994,F,P2K,SK,52.10676320939488,-106.58919086983191,Self-employed,Technology,19,monthly,1,60,99907.93,100020.67,25660.18,5409.26,2919.42,305.25,0,0,1,mobile,Other,Windows,d2711_958,52.10676320939488,-106.58919086983191,0.5217068762248941,False,2025-01-15,2025-01-23,bank_app_v1
11,2103,,3e4af508eed12841,2025-03-23 17:11:44,CreditCard,26885.74,36,0.1569,1947,F,H4T,MB,49.86937419941941,-97.07465979908618,Self-employed,Finance,68,weekly,0,152,127675.5,99582.36,1039.81,8340.79,7625.71,213.96,0,0,2,desktop,Firefox,Android,d2103_222,40.11969685764576,-57.84777051683011,0.15697048978564734,False,2025-03-21,2025-03-24,bank_app_v1
12,5627,fcb6263cf75d906b,3ba320baa4bc20d7,2025-06-18 18:22:14,AutoLoan,4409.68,24,0.114,1961,M,L7M,PE,46.24123616955369,-63.244949583304155,Self-employed,Finance,64,monthly,3,24,62114.03,55326.06,3681.37,3133.14,3899.88,937.6,0,0,0,desktop,Safari,Windows,d5627_760,46.24123616955369,-63.244949583304155,0.35379885620234325,False,2025-06-07,2025-06-19,bank_app_v1
13,3286,,c9c2d003970e400e,2025-07-05 12:52:55,PersonalLoan,21412.6,12,0.0751,1946,F,G3P,YT,60.8880001630079,-135.0614834015935,Full-time,Construction,101,monthly,0,139,88670.86,94878.12,2328.2,21214.72,5680.47,164.46,1,1,2,mobile,Edge,Android,d3286_625,32.78830768493653,-121.3576424469758,0.2690427945902687,False,2025-07-04,2025-07-07,bank_app_v1
14,5206,,bdfe17c74878213d,2025-08-02 12:29:37,PersonalLoan,28276.08,60,0.0558,1962,F,K2X,NB,46.082023758116605,-64.60099548637,Unemployed,Technology,79,biweekly,0,39,37939.14,31699.77,2709.99,10885.81,4080.38,883.79,0,0,1,mobile,Chrome,Linux,d5206_337,46.082023758116605,-64.60099548637,0.23843395996462785,False,2025-07-27,2025-08-06,bank_app_v1
15,3782,,fb78f6cff4c22ec5,2025-07-08 09:17:31,PersonalLoan,10455.96,12,0.0987,1973,F,M0A,NS,44.82712017639222,-63.60141212312764,Full-time,Finance,73,monthly,0,28,66906.53,71479.76,6079.84,12958.68,3840.37,323.85,0,0,1,mobile,Safari,Android,d3782_456,51.37704698627789,-106.37127742839024,0.2883289499244716,False,2025-07-02,2025-07-11,bank_app_v1
16,4702,,31d741da537c356f,2025-04-23 10:52:17,PersonalLoan,20147.6,60,0.1173,1948,M,E8J,AB,,,Part-time,Retail,52,biweekly,0,86,38843.46,36700.29,1726.0,8188.66,3749.74,166.84,0,0,2,mobile,Safari,iOS,d4702_604,,,0.4288201006672524,False,2025-04-10,2025-04-23,bank_app_v1
17,1646,bee3ce4d1423ca72,1533ee51c12e6c81,2025-07-12 13:59:51,LineOfCredit,15554.07,60,0.1514,1960,M,H3H,QC,45.8598816950719,-73.67007253694419,Full-time,Transportation,49,biweekly,1,85,62479.14,74974.97,3232.16,11806.57,1476.15,294.19,0,0,0,mobile,Chrome,Android,d1646_804,45.8598816950719,-73.67007253694419,0.46681101548197235,True,2025-07-06,2025-07-18,bank_app_v1
18,5915,412f754257710214,11e09a0a9d45be1c,2025-04-20 11:48:56,AutoLoan,9832.46,24,0.1385,1999,M,B0V,QC,,,Full-time,Transportation,38,monthly,0,15,28921.87,25023.8,3228.73,6479.32,23621.77,1466.12,0,2,0,desktop,Edge,iOS,d5915_267,33.66202842396588,-125.62747169596848,0.15447473749314922,False,2025-04-13,2025-04-20,bank_app_v1
19,2974,,b751930d92952174,2025-05-13 09:43:52,PersonalLoan,7594.63,48,0.019,1945,M,X8P,NL,47.6787610004591,-52.76984777299021,Full-time,Energy,25,monthly,0,1,45544.74,31948.67,2693.91,9873.49,6673.95,1195.74,0,0,2,desktop,Other,macOS,d2974_476,45.68615888171549,-66.62774686745058,0.20919464648126251,False,2025-05-05,2025-05-18,bank_app_v1
20,1880,,87675d609dc809a9,2025-05-25 10:50:38,CreditCard,41860.39,48,0.1669,1953,M,C2S,NS,,,Self-employed,Retail,0,biweekly,1,50,53474.48,50207.83,20573.84,7767.28,2287.32,311.13,0,0,2,mobile,Edge,macOS,d1880_819,,,0.24916854940834365,False,2025-05-23,2025-05-31,bank_app_v1
21,3470,,4094ce8882f82c7e,2025-06-03 19:16:12,CreditCard,2786.43,60,0.2204,1950,F,K4H,AB,53.56238142631903,-113.59246719188859,Student,Finance,82,weekly,0,0,26738.36,32086.03,1839.56,8678.61,418.52,27.7,0,0,0,desktop,Other,Linux,d3470_179,53.56238142631903,-113.59246719188859,0.49327809441303716,True,2025-05-26,2025-06-05,bank_app_v1
22,2165,,717bde368513ed85,2025-01-18 16:40:28,AutoLoan,13532.34,72,0.1606,2001,F,B4A,NT,62.34859991658011,-114.39408744286764,Full-time,Education,42,biweekly,0,68,58865.0,61669.8,5150.92,8707.97,3623.67,380.8,0,0,1,mobile,Edge,Linux,d2165_412,62.34859991658011,-114.39408744286764,0.5310390665551636,False,2025-01-10,2025-01-19,bank_app_v1
23,6189,7e6672fd0ae1f43b,eca7359bf58e4324,2025-04-01 09:20:39,CreditCard,4525.56,60,0.2129,1971,M,A1X,NB,46.158394550626575,-66.69848345520222,Full-time,Technology,76,monthly,0,55,193291.48,231949.78,1480.83,5140.52,2440.98,394.94,0,0,0,mobile,Other,macOS,d6189_644,46.158394550626575,-66.69848345520222,0.6226179752165844,False,2025-03-31,2025-04-06,bank_app_v1
24,7550,501a16a02fc0570c,62b3542b460aae60,2025-01-16 12:51:20,PersonalLoan,32972.25,60,0.1118,1955,M,E6N,BC,48.53040599346167,-123.45856063342062,Contract,Construction,76,monthly,1,105,126351.48,94485.33,3108.12,2499.01,1963.54,111.84,0,1,0,mobile,Other,Windows,d7550_315,48.53040599346167,-123.45856063342062,0.5072342099111864,True,2025-01-06,2025-01-22,bank_app_v1
25,3647,535c8e60010be9ec,c87d10767407218a,2025-06-08 13:50:32,LineOfCredit,12569.3,12,0.1614,1998,M,E0P,ON,43.028967766619196,-79.62631759909634,Full-time,Healthcare,46,monthly,2,106,46871.29,45465.59,1960.1,4009.41,1364.27,436.06,0,0,0,desktop,Edge,macOS,d3647_800,43.028967766619196,-79.62631759909634,0.44143564380428535,False,2025-06-05,2025-06-13,bank_app_v1
26,5516,acdd83a5de3b408e,b1e6d01f139c7f05,2025-06-08 15:16:54,LineOfCredit,12811.03,48,0.1009,1988,F,K1M,YT,60.9670606304937,-134.92939222738818,Part-time,Transportation,0,biweekly,1,94,100098.71,84458.31,10265.25,45428.63,2819.69,1140.22,0,0,0,mobile,Safari,iOS,d5516_781,60.9670606304937,-134.92939222738818,0.20384903014201286,False,2025-05-29,2025-06-09,bank_app_v1
27,3298,,9998a92b60251e19,2025-04-13 19:31:39,CreditCard,4112.01,60,0.1752,1979,F,A0B,NT,62.55570158221311,-114.4747044215082,Part-time,Government,76,monthly,0,42,101530.96,94783.56,3583.74,4497.62,2306.38,437.66,0,0,2,mobile,Edge,Android,d3298_426,62.55570158221311,-114.4747044215082,0.22634743071143337,False,2025-04-11,2025-04-17,bank_app_v1
28,6042,9d95282c1acf009b,0a281ef1e7437129,2025-04-09 09:52:05,LineOfCredit,53650.92,72,0.0544,1962,F,R7C,NB,45.96658738089395,-66.52872817109419,Full-time,Education,7,biweekly,1,16,68017.46,73393.27,8115.18,17102.56,3862.36,2255.7,0,1,2,desktop,Chrome,Android,d6042_262,29.827881406088185,-131.771185743603,0.42690657763299905,False,2025-03-30,2025-04-14,bank_app_v1
29,4152,,5c08eda2bbed32ae,2025-04-07 12:05:13,CreditCard,3676.94,60,0.2415,1956,M,P8C,SK,50.627730968463084,-104.85564108446742,Contract,Construction,101,monthly,3,0,72708.38,69886.7,9241.32,3080.78,4018.58,505.45,0,1,1,mobile,Edge,macOS,d4152_869,50.627730968463084,-104.85564108446742,0.5537768836281937,False,2025-03-24,2025-04-10,bank_app_v1
30,5431,9ea3fade45fe64e8,c08ff23a5ebb1f5e,2025-07-07 13:44:29,LineOfCredit,5328.65,72,0.1458,1986,F,T4E,NS,44.390140154668515,-63.62087704655019,Unemployed,Construction,26,biweekly,1,26,42425.81,41555.76,4933.88,4446.18,856.03,164.93,0,0,1,mobile,Safari,iOS,d5431_976,44.390140154668515,-63.62087704655019,0.37817069619558175,False,2025-07-06,2025-07-13,bank_app_v1
31,8021,8d094a03b8507c20,4f02a6fae61610d6,2025-03-20 11:13:47,LineOfCredit,8608.3,72,0.01,1970,F,T6E,NU,63.71437567767604,-68.59446705618073,Full-time,Technology,101,biweekly,1,117,87900.72,70275.09,622.72,6803.78,4981.82,162.99,0,1,3,mobile,Other,macOS,d8021_595,63.71437567767604,-68.59446705618073,0.4786135938878535,False,2025-03-08,2025-03-21,bank_app_v1
32,257,,44d3e432e41c9e56,2025-04-02 09:48:02,AutoLoan,27552.53,60,0.1671,1959,M,K9J,YT,60.6048954201826,-134.9715600305465,Self-employed,Healthcare,0,weekly,0,105,63440.31,66882.86,2502.8,16458.96,1361.43,400.13,0,1,1,mobile,Safari,Windows,d257_527,60.6048954201826,-134.9715600305465,0.0,False,2025-04-01,2025-04-03,bank_app_v1
33,2632,5309ae8427884762,9ab993edd39b5148,2025-05-01 11:26:24,AutoLoan,4787.73,12,0.1297,1976,F,S1Y,YT,60.84672294044743,-135.09207210232015,Contract,Construction,14,monthly,1,82,24803.77,19064.45,886.44,5431.46,7077.29,1368.04,0,0,2,mobile,Safari,Android,d2632_933,60.84672294044743,-135.09207210232015,0.0,False,2025-04-18,2025-05-01,bank_app_v1
34,3110,,71861c4b13cfe7fe,2025-01-31 16:01:31,CreditCard,4467.07,72,0.1795,1970,M,N5P,BC,48.55611762428101,-123.61461852954179,Full-time,Technology,0,weekly,1,15,102727.55,83896.13,1774.06,34483.15,1647.37,723.83,0,0,0,desktop,Safari,Android,d3110_856,25.863426433198228,-100.5361635788692,0.34208455279215666,False,2025-01-24,2025-01-31,bank_app_v1
35,4920,,96b03640a4c8c89a,2025-04-24 11:28:43,PersonalLoan,27943.77,36,0.089,1964,F,C8A,QC,45.59095345019165,-73.69474124525046,Full-time,Education,124,biweekly,0,1,89372.92,98755.64,3335.74,13537.88,639.4,613.06,2,0,1,mobile,Edge,Windows,d4920_515,45.59095345019165,-73.69474124525046,0.42584530397395814,False,2025-04-19,2025-04-26,bank_app_v1
36,3651,9f02c3d3c04d7f03,8663512051643d95,2025-01-24 19:16:30,AutoLoan,17548.03,12,0.1464,1979,M,T3R,YT,60.707320117217336,-134.9238260344954,Part-time,Finance,104,monthly,0,30,29227.49,31566.93,1603.11,30529.06,1015.64,538.75,0,0,3,mobile,Safari,Android,d3651_915,48.54110501120748,-78.81928609805553,0.3781657991234099,False,2025-01-20,2025-01-27,bank_app_v1
37,6204,eb8dc1f712235577,6725f7778487b742,2025-06-07 15:53:47,PersonalLoan,100000.0,48,0.1227,2001,F,Y4S,SK,50.52209544180166,-104.56848793203918,Full-time,Energy,10,biweekly,0,0,188040.89,159114.21,2616.28,3947.52,11283.06,637.33,0,1,3,mobile,Edge,iOS,d6204_343,50.52209544180166,-104.56848793203918,0.582713836116128,False,2025-06-04,2025-06-09,bank_app_v1
38,629,f4da04e81663bfa5,07c43f381bdb696e,2025-08-03 17:00:23,LineOfCredit,9768.67,36,0.1051,1950,M,T6N,YT,60.56429287601482,-134.91148374458638,Full-time,Energy,47,monthly,1,82,38737.54,35769.45,781.44,8298.91,1094.04,747.08,1,0,0,mobile,Edge,iOS,d629_904,60.56429287601482,-134.91148374458638,0.31284831038813266,False,2025-07-26,2025-08-07,bank_app_v1
39,4053,99690fddc6e029ad,3272d0257e1a625d,2025-06-21 17:41:30,PersonalLoan,10848.42,48,0.1069,1991,F,T7T,NT,62.255505277154874,-114.34529753441912,Self-employed,Transportation,49,monthly,2,82,129485.44,82943.23,4042.04,13662.05,4766.51,1292.01,0,0,2,mobile,Chrome,Windows,d4053_305,62.255505277154874,-114.34529753441912,0.7640519997945814,False,2025-06-16,2025-06-23,bank_app_v1
40,1706,19c33f47c11d89c0,79345f7423d8cda4,2025-08-02 17:55:10,AutoLoan,6605.3,72,0.01,1981,M,N7B,MB,,,Contract,Transportation,100,biweekly,2,7,75543.51,90652.21,1240.2,12659.74,979.4,211.1,0,0,0,mobile,Safari,macOS,d1706_156,,,0.5262564304126077,False,2025-07-29,2025-08-05,bank_app_v1
41,3498,,d1aa623e9a53bd7b,2025-07-14 11:08:36,AutoLoan,5860.37,12,0.0298,1997,F,V7S,NT,62.38082843308587,-114.45464696605099,Retired,Technology,18,biweekly,2,15,86182.24,80051.98,2613.05,2996.26,2062.73,488.69,0,1,1,mobile,Safari,Windows,d3498_621,62.38082843308587,-114.45464696605099,0.3691298796657485,True,2025-07-07,2025-07-17,bank_app_v1
42,8029,e6966489e0404f80,706b23b40a445278,2025-04-04 16:31:00,CreditCard,3329.62,24,0.1667,1979,M,S4M,PE,46.199355335592614,-63.13703904514412,Full-time,Energy,95,biweekly,2,123,88123.41,77133.04,5864.49,22123.62,2625.97,531.82,0,0,1,desktop,Edge,Windows,d8029_422,46.199355335592614,-63.13703904514412,0.5408016458374432,False,2025-03-28,2025-04-04,bank_app_v1
43,6068,9c2f77611c60fd80,42d2c82fdfcf5b65,2025-02-04 19:39:42,AutoLoan,2214.46,72,0.0665,1985,M,A7T,NS,,,Part-time,Construction,87,monthly,2,152,68067.93,41573.44,4563.33,12115.07,4665.97,371.95,0,0,1,desktop,Other,Linux,d6068_618,,,0.6308525036118986,False,2025-01-31,2025-02-04,bank_app_v1
44,2245,745adccc39e20edd,2b525605e65c9a25,2025-05-27 14:05:56,AutoLoan,29571.87,12,0.0624,1990,M,V2S,ON,43.5631046096996,-79.1189000517239,Self-employed,Construction,0,monthly,1,71,70809.31,72982.45,7449.2,3955.83,2470.73,300.98,0,0,3,mobile,Edge,iOS,d2245_383,43.5631046096996,-79.1189000517239,0.5652323112082686,False,2025-05-15,2025-06-01,bank_app_v1
45,4292,,6f5b8c00f82d5bd3,2025-04-29 11:40:33,CreditCard,7770.39,24,0.236,1988,M,M9X,NT,62.40590114411991,-114.3795561849867,Full-time,Finance,103,monthly,0,64,45134.22,39685.84,5829.99,11519.51,1382.72,1034.38,0,0,0,mobile,Edge,macOS,d4292_662,62.40590114411991,-114.3795561849867,0.3797905011425663,False,2025-04-27,2025-05-03,bank_app_v1
46,6197,8cfb9224e48fed74,fda7e1d4ba11951c,2025-07-09 13:51:52,AutoLoan,11775.82,60,0.1137,1980,M,X9N,AB,51.04318696402644,-113.89592716065202,Self-employed,Hospitality,0,monthly,2,43,30291.87,23394.18,4974.34,3919.43,722.06,250.92,0,0,0,mobile,Safari,Android,d6197_489,30.033678527199204,-130.32853976977307,0.4476853453672386,False,2025-07-06,2025-07-11,bank_app_v1
