account_id,customer_id,account_type,account_number,currency,balance,available_balance,hold_amount,interest_rate,overdraft_limit,opened_date,last_activity_date,status,branch_id,created_at
PMLA-A000000-SYN,PMLA-C000438-SYN,SAVINGS,****8858,CAD,9698.11,9315.97,0.0,2.04,2000,2023-04-23,2023-05-18,ACTIVE,BR-0049,2026-01-10 21:04:43
PMLA-A000001-SYN,PMLA-C000385-SYN,SAVINGS,****7678,CAD,14311.46,13910.2,0.0,1.63,2000,2018-09-17,2021-12-25,ACTIVE,BR-0027,2026-01-10 21:04:43
PMLA-A000002-SYN,PMLA-C001215-SYN,SAVINGS,****8792,CAD,2507.51,2423.65,0.0,0.39,5000,2017-04-23,2020-05-12,ACTIVE,BR-0022,2026-01-10 21:04:43
PMLA-A000003-SYN,PMLA-C000986-SYN,SAVINGS,****5531,USD,4829.69,4351.65,0.0,2.42,5000,2015-02-28,2022-12-26,ACTIVE,BR-0019,2026-01-10 21:04:43
PMLA-A000004-SYN,PMLA-C000639-SYN,SAVINGS,****7182,CAD,13723.19,11336.8,0.0,0.03,1000,2017-02-21,2021-07-07,ACTIVE,BR-0004,2026-01-10 21:04:43
PMLA-A000005-SYN,PMLA-C000318-SYN,CHECKING,****9954,CAD,10686.53,10500.88,0.0,3.26,500,2007-09-15,2017-07-13,ACTIVE,BR-0014,2026-01-10 21:04:43
PMLA-A000006-SYN,PMLA-C000331-SYN,JOINT,****1507,CAD,314.99,282.91,0.0,0.71,5000,2018-03-19,2024-05-14,DORMANT,BR-0033,2026-01-10 21:04:43
PMLA-A000007-SYN,PMLA-C001497-SYN,SAVINGS,****8577,CAD,1454.89,1164.81,0.0,3.27,5000,2013-06-02,2018-01-22,ACTIVE,BR-0014,2026-01-10 21:04:43
PMLA-A000008-SYN,PMLA-C001389-SYN,SAVINGS,****7015,CAD,6377.65,5333.77,32.98,4.23,1000,2006-10-18,2016-11-06,ACTIVE,BR-0021,2026-01-10 21:04:43
PMLA-A000009-SYN,PMLA-C000972-SYN,CHECKING,****1176,CAD,2450.88,2287.31,0.0,3.4,1000,2011-10-05,2020-08-08,ACTIVE,BR-0022,2026-01-10 21:04:43
PMLA-A000010-SYN,PMLA-C000644-SYN,BUSINESS,****2897,CAD,32418.15,28558.62,0.0,3.36,2000,2015-09-28,2017-01-16,ACTIVE,BR-0044,2026-01-10 21:04:43
PMLA-A000011-SYN,PMLA-C000136-SYN,SAVINGS,****3695,CAD,29107.07,27323.5,0.0,2.09,5000,2019-10-21,2020-04-25,ACTIVE,BR-0019,2026-01-10 21:04:43
PMLA-A000012-SYN,PMLA-C000436-SYN,BUSINESS,****5306,CAD,2893.0,2324.06,0.0,1.21,500,2010-03-01,2019-07-15,ACTIVE,BR-0013,2026-01-10 21:04:43
PMLA-A000013-SYN,PMLA-C000482-SYN,SAVINGS,****8130,CAD,12504.69,10947.02,0.0,3.17,0,2016-10-09,2022-07-14,ACTIVE,BR-0021,2026-01-10 21:04:43
