customer_id,first_name,last_name,birth_date,age,gender,address,city,province,postal_code,country,phone,email,employer,employment_status,annual_income,segment,kyc_level,risk_rating,customer_since,is_active,created_at
PMLA-C000000-SYN,Linda,Johnson,1969-09-04,56,Male,1680 Bloor Avenue,Guelph,ON,N9S 0A1,Canada,+1-604-438-9279,linda.johnson@outlook.com,CP Rail,Employed,73261.44,RETAIL,ENHANCED,MEDIUM,2015-04-06,True,2026-01-10 21:04:43
PMLA-C000001-SYN,Nancy,Miller,1953-04-28,72,Male,5636 Dundas Boulevard,Winnipeg,MB,R0T 8E6,Canada,+1-437-765-5803,nancy_miller@mail.com,CP Rail,Employed,40614.56,PREMIUM,BASIC,LOW,2011-12-23,True,2026-01-10 21:04:43
PMLA-C000002-SYN,Olivia,Jones,1999-08-26,26,Female,4011 Elm Crescent,Moncton,NB,E6L 8K5,Canada,+1-647-434-1525,olivia.jones41@icloud.com,,Student,62155.56,RETAIL,ENHANCED,MEDIUM,2006-05-29,True,2026-01-10 21:04:43
PMLA-C000003-SYN,Charlotte,Martin,1993-05-10,32,Female,9561 Church Lane,Quebec City,QC,G3G 8V1,Canada,+1-647-312-3504,charlottemartin@protonmail.com,Government of Canada,Employed,116247.83,PREMIUM,BASIC,MEDIUM,2011-12-20,True,2026-01-10 21:04:43
PMLA-C000004-SYN,Linda,Gagnon,1984-01-03,42,Male,4316 James Road,Victoria,BC,V8E 4W9,Canada,+1-604-356-7126,lindagagnon@gmail.com,Amazon Canada,Employed,41140.18,PREMIUM,ENHANCED,LOW,2021-10-19,True,2026-01-10 21:04:43
PMLA-C000005-SYN,William,Rodriguez,2004-03-10,21,Female,4343 James Way,Barrie,ON,L3X 3M6,Canada,+1-450-648-9479,william.rodriguez@outlook.com,Air Canada,Employed,52913.31,SMALL_BUSINESS,BASIC,LOW,2001-05-29,True,2026-01-10 21:04:43
PMLA-C000006-SYN,Wei,Jackson,1969-12-26,56,Male,2168 Spadina Crescent,Montreal,QC,H3V 6J1,Canada,+1-905-874-8062,wei.jackson46@protonmail.com,Bombardier,Employed,56020.79,SMALL_BUSINESS,ENHANCED,LOW,2008-08-05,True,2026-01-10 21:04:43
PMLA-C000007-SYN,William,Singh,1961-06-18,64,Male,1236 Albert Avenue,Saskatoon,SK,S0X 0C3,Canada,+1-365-616-8956,williamsingh@protonmail.com,Desjardins,Employed,19288.92,RETAIL,STANDARD,HIGH,2021-10-30,True,2026-01-10 21:04:43
PMLA-C000008-SYN,Susan,Brown,1996-12-17,29,Male,5139 Oak Street,Kitchener,ON,N9V 8W2,Canada,+1-647-720-2312,susan.brown@yahoo.ca,Telus,Employed,56496.41,RETAIL,BASIC,MEDIUM,2023-06-14,True,2026-01-10 21:04:43
PMLA-C000009-SYN,Susan,Côté,1966-06-01,59,Male,4916 Albert Lane,Hamilton,ON,L1A 7Z9,Canada,+1-905-275-9808,susan_côté@icloud.com,Loblaws,Student,42921.34,PREMIUM,STANDARD,MEDIUM,2023-09-23,False,2026-01-10 21:04:43
