"ID","SEX","CITY","PROVINCE","FULLNAME","AGE","IsMarried","FAMILYID","RACE","Income","IsHomeOwner","HOMEVALUE","RENTVALUE","IsEduBachelors","IsUnemployed","AME","AMB","credit_score","AccountType","account_age","avg12_tx","BankIsPrimary","avg12_tx_volume","loan_status","credit_card_status","overdraft_usage","branch_visits","digital_usage_level","customer_service","complaints_filed","satisfaction_level","MobilePhone","CardNumber","CardType","Email","BankPresenceRating","ChurnProbability"
175161,"M","Hamilton","ON","ERIK CROSS",42,"True",,"White",89823.00,"True",1172829.00,0.00,"True","True",5952,44935.26,850.00,"Investment; Joint",20,102.00,"True",3871.87,"Mortgage","True","True",0,"High",3,0,6,"365-215-5385T","4510 1555T 3234 6438","CREDIT","TERIKCROSS@non.iCloud.com",0.15,0.05
149515,"M","Ottawa","ON","DIANE OLSEN",28,"False",,"White",62196.00,"True",757946.00,0.00,"True","False",3518,9644.51,671.00,"Checking; Credit",2,102.00,"True",2010.09,"Mortgage","False","True",5,"High",5,3,3,"365-866-7694T","4512 2346T 4528 8079","CREDIT","TDIANE_OLSEN9@rand.att.net",0.14,0.52
84290,"M","Montreal","QC","DESCHENES RAYMOND",48,"True",,"Latino",86505.00,"True",646995.00,0.00,"True","False",5765,30047.88,759.00,"Credit",35,18.53,"False",35.89,"Mortgage","True","True",0,"Low",4,0,5,"579-680-7189T","4510 1610T 5041 6806","DEBIT","TDESCHENESRAYMOND@fake.yahoo.com",0.18,0.10
29637,"M","Toronto","ON","CARRIE WILLIAMS",48,"True",,"White",108840.00,"True",1158520.00,0.00,"True","False",9070,58068.08,792.00,"Checking",18,68.00,"True",6300.52,"Mortgage","True","False",0,"High",5,2,3,"289-216-8348T","4510 1634T 9910 0210","DEBIT","TCARRIEWILLIAMS@fake.yahoo.com",0.15,0.11
347007,"M","East Zorra-Tavistock","ON","DISLEY DAVID",28,"False",,"Asian",46370.00,"False",0.00,1008.00,"True","False",2339,9606.25,562.00,"Checking",11,106.00,"True",1322.52,,"False","False",11,"High",4,2,2,"343-928-6827T","5415 9047T 4925 8668","CREDIT","TDISLEY_DAVID74@fake.neo.com",0.14,0.07
233039,"M","Longueuil","QC","LABELLE GERARD",45,"False",,"White",70811.00,"True",471939.00,0.00,"True","False",3185,67299.46,700.00,"Credit",7,53.00,"True",2472.22,"Mortgage","True","False",0,"High",5,7,1,"438-872-7601T","4519 9281T 6780 5499","DEBIT","TLG93032456@fake.att.net",0.14,0.41
170882,"M","Hamilton","ON","MANITTA FRANK",36,"False",,"White",107664.00,"True",852498.00,0.00,"True","False",8972,6426.71,726.00,"Credit; Investment; Checking",11,14.95,"False",40.81,"Mortgage","False","False",11,"Medium",2,2,4,"647-992-8787T","5415 9019T 5720 9529","CREDIT","TMANITTAFRANK@non.neo.com",0.15,0.10
298681,"F","Bowmanville","ON","LILLICO DORIS",44,"True",,"Asian",54124.00,"True",356696.00,0.00,"False","True",3337,11933.06,774.00,"Credit",18,16.46,"False",83.20,"Mortgage","True","False",0,"Medium",2,0,7,"289-795-6674T","4510 1381T 5669 7958","CREDIT","TLD5724462@rand.live.com",0.12,0.05
178116,"F","Mississauga","ON","SMITH BELINDA",36,"False",,"Asian",86544.00,"True",936290.00,0.00,"True","False",4384,33246.41,704.00,"Checking",13,14.57,"False",37.76,"Mortgage","True","False",0,"Medium",2,2,5,"365-211-4313T","4510 1632T 4694 7931","DEBIT","TSB364490@synth.yahoo.com",0.17,0.12
274950,"M","Delta","BC","KUHN BRIAN",34,"False",,"Asian",101713.00,"True",1365388.00,0.00,"True","False",7146,8727.48,699.00,"Checking",18,14.24,"False",19.75,"Auto Loan","True","False",0,"Medium",2,0,5,"672-618-3297T","4514 0171T 9040 9644","CREDIT","TKUHNBRIAN@fake.netZero.com",0.16,0.08
351272,"F","Didsbury","AB","MCNUTT KATHY",41,"False",,"White",42869.00,"True",320165.00,0.00,"True","False",2554,10808.78,620.00,"Checking",7,35.00,"True",1405.40,"Mortgage","False","True",10,"Medium",7,0,8,"825-906-9125T","5415 9032T 1020 4686","CREDIT","TMK312149247@synth.cogeco.ca",0.13,0.05
136005,"M","Edmonton","AB","FULKERTH ROBERT",33,"False",,"White",71773.00,"True",529400.00,0.00,"True","False",3568,45630.53,696.00,"Checking",9,13.21,"False",71.04,"Mortgage","True","False",0,"Low",5,2,4,"825-432-9345T","4510 1361T 2598 3049","CREDIT","TFR08984@rand.hotmail.com",0.16,0.09
219292,"M","Oshawa","ON","SMITH ROBERT",38,"True",,"Asian",87170.00,"False",0.00,1754.00,"True","False",4358,37654.06,631.00,"Credit",16,45.00,"True",3183.39,,"False","False",10,"High",5,1,4,"613-325-3467T","4519 9228T 2322 8400","DEBIT","TSR372280@fake.outlook.com",0.14,0.06
240004,"M","Oakville","ON","KAITLYN SMITH",40,"True",,"Asian",125433.00,"True",1274157.00,0.00,"True","False",10453,20660.01,768.00,"Credit",16,12.93,"False",2.00,"Mortgage","True","False",0,"Medium",2,0,4,"289-214-3511T","4510 1333T 8391 3637","CREDIT","TKS4223369@non.icloud.com",0.16,0.12
196626,"M","Kitchener","ON","BEVERLY DANIELS",35,"False",,"Latino",72095.00,"True",784178.00,0.00,"False","True",3648,26749.83,820.00,"Checking",10,7.45,"False",19.49,"Personal Loan","False","False",0,"Low",5,3,2,"226-930-2029T","4514 0155T 6412 0278","CREDIT","TBD16991389@fake.aol.com",0.15,0.21
198947,"F","Kitchener","ON","LUDFORD ROSEMARIE",29,"False",,"White",86345.00,"True",777669.00,0.00,"True","False",4313,35748.48,692.00,"Checking",11,13.85,"False",28.21,"Mortgage","False","False",0,"Low",6,1,5,"548-762-5968T","4510 1372T 7887 1446","CREDIT","TLR0400519@test.gmail.com",0.15,0.23
190544,"F","Brampton","ON","PACE NICOLA",26,"True",,"Black",86677.00,"True",1267406.00,0.00,"True","False",5622,15901.91,712.00,"Credit",13,6.32,"False",35.83,"Mortgage","True","False",8,"Low",5,0,6,"437-248-1960T","4519 9277T 3451 4397","DEBIT","TPN81087203@non.netZero.com",0.17,0.28
258136,"F","Guelph","ON","MANGANARO LISSA",49,"True","9oxPZwkt","White",90336.58,"True",871745.00,0.00,"True","False",4989,51151.49,793.00,"Credit; Joint",38,49.00,"True",2524.63,,"False","False",10,"High",4,4,1,"683-226-4688T","4510 1596T 2156 0459","CREDIT","TML5318541901@rand.icloud.com",0.17,0.09
271233,"F","Moncton","NB","CLARKE FRANCINE",42,"False",,"White",68841.00,"True",260850.00,0.00,"True","False",3391,6616.88,619.00,"Checking; Credit",4,45.00,"True",1786.30,"Mortgage","False","True",12,"Medium",6,0,6,"506-653-1298T","4512 2317T 7235 3873","CREDIT","TCF9193@synth.proton.com",0.14,0.35
55409,"F","Toronto","ON","MITURA CHRISTINA",43,"False",,"Asian",108658.00,"True",1308210.00,0.00,"True","False",9055,22004.05,715.00,"Credit; Investment",5,42.00,"True",5993.97,"Mortgage","False","False",0,"Medium",6,0,5,"289-617-7954T","5415 9084T 9064 1222","CREDIT","TMC88476@non.iCloud.com",0.15,0.10
