row_id,column,issue_type,details
r00003,ID,missing_value,p=0.11
r00007,ID,missing_value,p=0.11
r00028,ID,missing_value,p=0.11
r00029,ID,missing_value,p=0.11
r00048,ID,missing_value,p=0.11
r00049,ID,missing_value,p=0.11
r00064,ID,missing_value,p=0.11
r00066,ID,missing_value,p=0.11
r00080,ID,missing_value,p=0.11
r00084,ID,missing_value,p=0.11
r00086,ID,missing_value,p=0.11
r00089,ID,missing_value,p=0.11
r00093,ID,missing_value,p=0.11
r00097,ID,missing_value,p=0.11
r00106,ID,missing_value,p=0.11
r00110,ID,missing_value,p=0.11
r00117,ID,missing_value,p=0.11
r00120,ID,missing_value,p=0.11
r00133,ID,missing_value,p=0.11
r00140,ID,missing_value,p=0.11
r00141,ID,missing_value,p=0.11
r00155,ID,missing_value,p=0.11
r00184,ID,missing_value,p=0.11
r00187,ID,missing_value,p=0.11
r00194,ID,missing_value,p=0.11
r00196,ID,missing_value,p=0.11
r00215,ID,missing_value,p=0.11
r00229,ID,missing_value,p=0.11
r00232,ID,missing_value,p=0.11
r00234,ID,missing_value,p=0.11
r00258,ID,missing_value,p=0.11
r00265,ID,missing_value,p=0.11
r00270,ID,missing_value,p=0.11
r00276,ID,missing_value,p=0.11
r00290,ID,missing_value,p=0.11
r00293,ID,missing_value,p=0.11
r00324,ID,missing_value,p=0.11
r00336,ID,missing_value,p=0.11
r00342,ID,missing_value,p=0.11
r00382,ID,missing_value,p=0.11
r00384,ID,missing_value,p=0.11
r00403,ID,missing_value,p=0.11
r00408,ID,missing_value,p=0.11
r00411,ID,missing_value,p=0.11
r00412,ID,missing_value,p=0.11
r00425,ID,missing_value,p=0.11
r00430,ID,missing_value,p=0.11
r00440,ID,missing_value,p=0.11
r00442,ID,missing_value,p=0.11
r00443,ID,missing_value,p=0.11
r00451,ID,missing_value,p=0.11
r00463,ID,missing_value,p=0.11
r00467,ID,missing_value,p=0.11
r00470,ID,missing_value,p=0.11
r00471,ID,missing_value,p=0.11
r00488,ID,missing_value,p=0.11
r00492,ID,missing_value,p=0.11
r00496,ID,missing_value,p=0.11
r00502,ID,missing_value,p=0.11
r00508,ID,missing_value,p=0.11
r00523,ID,missing_value,p=0.11
r00552,ID,missing_value,p=0.11
r00557,ID,missing_value,p=0.11
r00565,ID,missing_value,p=0.11
r00571,ID,missing_value,p=0.11
r00613,ID,missing_value,p=0.11
r00614,ID,missing_value,p=0.11
r00662,ID,missing_value,p=0.11
r00671,ID,missing_value,p=0.11
r00680,ID,missing_value,p=0.11
r00684,ID,missing_value,p=0.11
r00694,ID,missing_value,p=0.11
r00702,ID,missing_value,p=0.11
r00703,ID,missing_value,p=0.11
r00718,ID,missing_value,p=0.11
r00751,ID,missing_value,p=0.11
r00760,ID,missing_value,p=0.11
r00785,ID,missing_value,p=0.11
r00794,ID,missing_value,p=0.11
r00817,ID,missing_value,p=0.11
r00828,ID,missing_value,p=0.11
r00829,ID,missing_value,p=0.11
r00853,ID,missing_value,p=0.11
r00912,ID,missing_value,p=0.11
r00957,ID,missing_value,p=0.11
r00970,ID,missing_value,p=0.11
r00973,ID,missing_value,p=0.11
r00983,ID,missing_value,p=0.11
r00984,ID,missing_value,p=0.11
r00986,ID,missing_value,p=0.11
r01013,ID,missing_value,p=0.11
r01028,ID,missing_value,p=0.11
r01039,ID,missing_value,p=0.11
r01052,ID,missing_value,p=0.11
r01056,ID,missing_value,p=0.11
r01058,ID,missing_value,p=0.11
r01060,ID,missing_value,p=0.11
r01062,ID,missing_value,p=0.11
r01071,ID,missing_value,p=0.11
r01082,ID,missing_value,p=0.11
r01084,ID,missing_value,p=0.11
r01139,ID,missing_value,p=0.11
r01173,ID,missing_value,p=0.11
r01176,ID,missing_value,p=0.11
r01187,ID,missing_value,p=0.11
r01193,ID,missing_value,p=0.11
r01197,ID,missing_value,p=0.11
