"ID","SEX","CITY","PROVINCE","FULLNAME","AGE","IsMarried","FAMILYID","RACE","Income","IsHomeOwner","HOMEVALUE","RENTVALUE","IsEduBachelors","IsUnemployed","AME","AMB","credit_score","AccountType","account_age","avg12_tx","BankIsPrimary","avg12_tx_volume","loan_status","credit_card_status","overdraft_usage","branch_visits","digital_usage_level","customer_service","complaints_filed","satisfaction_level","MobilePhone","CardNumber","CardType","Email","BankPresenceRating","ChurnProbability"
304459,"F","St. Thomas","ON","BRAZEAU CHRISTINE",40,"False",,"White",76837.00,"True",703451.00,0.00,"True","False",3825,37270.94,693.00,"Credit; Checking",17,57.00,"True",2580.07,"Mortgage","True","False",10,"High",5,0,4,"807-881-7806T","4514 0112T 1742 1725","CREDIT","TfinickyFalcon1BRCH@synth.zoho.com",0.14,0.16
284397,"M","Chilliwack","BC","BINSTED JOHN",33,"True","sT3fnjSo","White",87102.00,"True",886497.00,0.00,"True","False",4951,12749.04,745.00,"Checking; Joint",5,104.00,"True",2635.20,"Mortgage","True","False",0,"High",4,2,3,"778-908-2384T","4519 9267T 0053 0434","DEBIT","TBINSTEDJOHN@non.jumo.com",0.12,0.11
12920,"M","Toronto","ON","BARBARA LAM",32,"True",,"Black",71383.00,"True",1104928.00,0.00,"True","False",3490,7804.89,692.00,"Credit",19,82.00,"True",2414.00,"Mortgage","True","False",0,"High",4,3,1,"519-573-8820T","4512 2320T 7600 6195","CREDIT","TBL41545953@non.jumo.com",0.15,0.32
274318,"F","Thunder Bay","ON","TEREKHOVA ELENA",52,"False",,"White",83335.00,"True",392829.00,0.00,"True","False",3538,34159.33,733.00,"Checking",16,15.87,"False",30.12,"Mortgage","False","False",3,"Medium",2,1,4,"365-243-6910T","4519 9221T 2879 3212","DEBIT","TTE90760@test.hotmail.com",0.14,0.10
151923,"F","Ottawa","ON","MICHEL MADELEINE",22,"False",,"White",10459.00,"False",0.00,813.00,"False","False",1052,3994.90,414.00,"Checking",2,9.99,"False",10.83,,"False","False",0,"Medium",2,3,4,"249-473-3448T","4510 1641T 0719 0659","DEBIT","TMM04000441@fake.proton.com",0.14,0.35
207207,"F","Laval","QC","DUFOUR AUDREY",45,"False",,"Black",88217.00,"True",565826.00,0.00,"True","False",3988,48174.86,735.00,"Investment",23,87.00,"True",3119.84,"Mortgage","True","False",2,"High",4,1,5,"579-913-9261T","5415 9066T 2321 2954","CREDIT","TDA9874760110@fake.att.net",0.16,0.11
153851,"F","Ottawa","ON","NOVISS TAMMY",43,"True",,"White",80910.00,"True",733159.00,0.00,"True","False",4211,43697.43,706.00,"Checking",33,18.27,"False",21.08,"Mortgage","True","False",0,"Medium",2,1,4,"343-742-3895T","4514 0135T 8363 9816","CREDIT","TNT98020812@test.jumo.com",0.14,0.07
15362,"F","Toronto","ON","NESS MARY",29,"False",,"Asian",71578.00,"True",956659.00,0.00,"True","False",3146,11689.30,663.00,"Investment",18,60.00,"True",2239.99,"Mortgage","False","True",7,"High",4,4,2,"807-778-2157T","5415 9040T 0869 7055","CREDIT","TNESS_MARY65@synth.netZero.com",0.15,0.36
110884,"M","Vancouver","BC","GIESBRECHT HENRY",32,"False",,"White",77729.00,"False",0.00,1853.00,"True","False",3251,15241.41,592.00,"Investment",19,12.25,"False",65.83,"Auto Loan","False","False",0,"Low",4,3,2,"778-286-3178T","5415 9038T 0006 4827","CREDIT","TGH3155882@fake.zoho.com",0.13,0.25
93957,"M","Montreal","QC","BEAUSOLEIL LUC",40,"False",,"White",70059.00,"True",650049.00,0.00,"True","False",4625,30958.64,691.00,"Credit",16,13.84,"False",46.24,"Mortgage","False","False",0,"Medium",2,3,2,"418-790-9205T","4519 9248T 3368 1517","DEBIT","TBL047097848@non.hotmail.com",0.18,0.24
