ID,SEX,CITY,PROVINCE,FULLNAME,AGE,IsMarried,FAMILYID,RACE,Income,IsHomeOwner,HOMEVALUE,RENTVALUE,IsEduBachelors,IsUnemployed,AME,AMB,credit_score,AccountType,account_age,avg12_tx,BankIsPrimary,avg12_tx_volume,loan_status,credit_card_status,overdraft_usage,branch_visits,digital_usage_level,customer_service,complaints_filed,satisfaction_level,MobilePhone,CardNumber,CardType,Email,BankPresenceRating,ChurnProbability,AGE_bin,RACE_gen,Income_bin,HOMEVALUE_bin,RENTVALUE_bin,_k_score
149515,M,Ottawa,ON,DIANE OLSEN,28,False,,White,62196.0,True,757946.0,0.0,True,False,3518,9644.51,671.0,Checking; Credit,2,102.0,True,2010.09,Mortgage,False,True,5,High,5,3,3,365-866-7694T,4512 2346T 4528 8079,CREDIT,TDIANE_OLSEN9@rand.att.net,0.14,0.52,26-35,White,60k-100k,500k-1M,0-500,7
29637,M,Toronto,ON,CARRIE WILLIAMS,48,True,,White,108840.0,True,1158520.0,0.0,True,False,9070,58068.08,792.0,Checking,18,68.0,True,6300.52,Mortgage,True,False,0,High,5,2,3,289-216-8348T,4510 1634T 9910 0210,DEBIT,TCARRIEWILLIAMS@fake.yahoo.com,0.15,0.11,46-55,White,100k-200k,1M-2M,0-500,7
198947,F,Kitchener,ON,LUDFORD ROSEMARIE,29,False,,White,86345.0,True,777669.0,0.0,True,False,4313,35748.48,692.0,Checking,11,13.85,False,28.21,Mortgage,False,False,0,Low,6,1,5,548-762-5968T,4510 1372T 7887 1446,CREDIT,TLR0400519@test.gmail.com,0.15,0.23,26-35,White,60k-100k,500k-1M,0-500,7
55409,F,Toronto,ON,MITURA CHRISTINA,43,False,,Asian,108658.0,True,1308210.0,0.0,True,False,9055,22004.05,715.0,Credit; Investment,5,42.0,True,5993.97,Mortgage,False,False,0,Medium,6,0,5,289-617-7954T,5415 9084T 9064 1222,CREDIT,TMC88476@non.iCloud.com,0.15,0.1,36-45,OTHER,100k-200k,1M-2M,0-500,14
40620,F,Toronto,ON,EATON GISELA,45,False,,Asian,71291.0,True,1039078.0,0.0,True,False,4636,48394.54,719.0,Checking,4,59.0,True,2770.32,Mortgage,False,False,3,High,4,1,5,416-346-4870T,4510 1347T 6748 6252,CREDIT,TEG70117768@rand.zoho.com,0.15,0.14,36-45,OTHER,60k-100k,1M-2M,0-500,69
34515,F,Toronto,ON,MORRIS ELINOR,37,False,,Asian,96149.0,True,1124577.0,0.0,True,False,6222,19691.19,691.0,Investment,4,45.0,True,4039.05,Mortgage,True,False,0,High,4,3,3,548-628-8236T,4512 2381T 3029 1313,CREDIT,TbubblyTortoise8MOEL@synth.live.com,0.15,0.22,36-45,OTHER,60k-100k,1M-2M,0-500,69
86393,F,Montreal,QC,GRAVEL GISELE,33,False,,White,56592.0,True,602779.0,0.0,True,False,2905,13900.55,667.0,Credit,15,81.0,True,2238.06,Personal Loan,True,False,12,High,4,0,9,438-332-1346T,4512 2316T 0661 5738,CREDIT,TGG6023@non.mail.com,0.18,0.13,26-35,White,30k-60k,500k-1M,0-500,7
13743,M,Toronto,ON,JACQUES DOUG,42,True,,Asian,94673.0,True,1323677.0,0.0,True,False,5144,28270.76,734.0,Joint,9,13.75,False,34.92,Mortgage,False,False,0,Medium,2,0,5,647-137-3818T,5415 9011T 2402 3074,CREDIT,TJACQUESDOUG@synth.live.com,0.15,0.06,36-45,OTHER,60k-100k,1M-2M,0-500,26
70273,F,Toronto,ON,PRAIRIE DEBBIE,20,False,,White,10314.0,False,0.0,888.0,False,True,908,3247.4,568.0,Savings,4,109.0,True,651.1,,False,False,5,High,5,0,6,548-370-1086T,4510 1641T 5289 5961,DEBIT,TPRAIRIEthriftyPonie493@rand.comcast.net,0.15,0.08,18-25,White,0-30k,0-200k,500-1k,5
174247,M,Hamilton,ON,GEDCKE PERCY,28,False,,Asian,71486.0,True,872840.0,0.0,True,False,3490,9671.05,657.0,Investment; Credit,15,7.6,False,142.0,Mortgage,False,True,0,Low,5,3,2,416-613-2692T,4514 0149T 3605 8671,CREDIT,TGEDCKE_PERCY85@test.icloud.com,0.15,0.37,26-35,OTHER,60k-100k,500k-1M,0-500,5
194817,F,Kitchener,ON,CAROLYN WILLIAMS,27,False,,White,79472.0,True,865054.0,0.0,True,False,3350,17538.97,674.0,Checking; Investment; Credit,15,5.66,False,13.09,Personal Loan,True,False,0,Low,5,1,6,365-542-3693T,4510 1653T 6500 4020,DEBIT,TCAROLYN_WILLIAMS53@fake.iCloud.com,0.15,0.17,26-35,White,60k-100k,500k-1M,0-500,7
113,M,Toronto,ON,WILLIAM KENNEDY,41,True,,Asian,91397.0,True,1053254.0,0.0,True,False,5276,32405.01,746.0,Investment; Joint; Credit; Checking,4,34.0,True,3206.04,Mortgage,True,True,2,High,4,1,5,289-334-3932T,4510 1393T 8662 4674,CREDIT,TWILLIAMKENNEDY@non.mail.com,0.15,0.08,36-45,OTHER,60k-100k,1M-2M,0-500,26
